schema_version	query_id	query_class	profile	threads	candidate_limit	cache_block_bytes	repeat	status	exit_code	wall_seconds	user_seconds	system_seconds	peak_rss_kib	candidate_count	alignment_count	output_bytes	archive_count	archive_size_bytes	archive_build_wall_seconds	archive_build_cpu_seconds	metadata_requests	head_requests	get_requests	range_requests	stream_requests	requested_bytes	returned_bytes	decoded_bytes	remote_bytes	cache_bytes	cache_hits	cache_misses	cache_evictions	stale_cache_rejections	retries	full_object_fallbacks	seed_buckets_read	sequence_blocks_read	seed_count_proxy	bucket_count_proxy	anchor_count_proxy	chain_count_proxy	sequence_count_proxy	alignment_count_proxy	output_bytes_proxy	thread_count_proxy
1.0.0	J01749.1__q2000	small	sensitive	4	1	65536	1	complete	0	0.03778806500486098	0.025946999999999998	0.012093	62540	1	1	6280	3	26032220			20	0	0	18	0	2302021	2302021	1404339	0	53414	3	36	0	0	0	0	13	1		26			2		6280	4
1.0.0	J01749.1__q2000	small	sensitive	4	1	262144	1	complete	0	0.0455398679987411	0.031205999999999998	0.015026999999999999	63696	1	1	6283	3	26032220			20	0	0	18	0	4464709	4464709	1404339	0	61030	4	18	0	0	0	0	13	1		26			2		6283	4
1.0.0	J01749.1__q2000	small	sensitive	4	1	1048576	1	complete	0	0.04645063599309651	0.029501999999999997	0.017124999999999998	69724	1	1	6286	3	26032220			20	0	0	18	0	8921157	8921157	1404339	0	98118	9	10	0	0	0	0	13	1		26			2		6286	4
1.0.0	J01749.1__q2000	small	sensitive	4	100	16384	1	complete	0	0.037568533000012394	0.026191	0.011035999999999999	64624	1	1	6286	3	26032220			20	0	0	18	0	1562569	1562569	1404339	0	23264	3	96	0	0	0	0	13	1		26			2		6286	4
1.0.0	J01749.1__q2000	small	sensitive	4	100	65536	1	complete	0	0.03786467899772106	0.030223	0.008013	59980	1	1	6286	3	26032220			20	0	0	18	0	2302021	2302021	1404339	0	53414	3	36	0	0	0	0	13	1		26			2		6286	4
1.0.0	J01749.1__q2000	small	sensitive	4	100	262144	1	complete	0	0.048411411997221876	0.033173999999999995	0.015585	61900	1	1	6289	3	26032220			20	0	0	18	0	4464709	4464709	1404339	0	61030	4	18	0	0	0	0	13	1		26			2		6289	4
1.0.0	J01749.1__q2000	small	sensitive	4	100	1048576	1	complete	0	0.045465338000212796	0.029717999999999998	0.016373	69096	1	1	6292	3	26032220			20	0	0	18	0	8921157	8921157	1404339	0	98118	9	10	0	0	0	0	13	1		26			2		6292	4
1.0.0	J01749.1__q2000	small	sensitive	8	1	16384	1	complete	0	0.039055921995895915	0.023247	0.017211	78972	1	1	6283	3	26032220			20	0	0	18	0	1562569	1562569	1404339	0	23264	3	96	0	0	0	0	13	1		26			2		6283	8
1.0.0	J01749.1__q2000	small	sensitive	8	1	65536	1	complete	0	0.0403722499977448	0.025353	0.015863	77060	1	1	6283	3	26032220			20	0	0	18	0	2302021	2302021	1404339	0	53414	3	36	0	0	0	0	13	1		26			2		6283	8
1.0.0	J01749.1__q2000	small	sensitive	8	1	262144	1	complete	0	0.04161884600034682	0.027898	0.015613	80604	1	1	6286	3	26032220			20	0	0	18	0	4464709	4464709	1404339	0	61030	4	18	0	0	0	0	13	1		26			2		6286	8
